APPLICATION_NUMBER,FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,ESTIMATEDCOST,REVISEDCOST,"EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
200207101100,3,2002/07/10,2004/06/11,ISSUED,9,2004/10/11,1,1,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",2,258,18,546,,GRANT,AV,,,,,,,,,,,,,"REV. APPL #200101300962 UMB RETROFIT BLDG. & CHANGE # OF UNITS FROM 1 TO 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
200207232088,3,2002/07/23,2004/06/14,ISSUED,9,2004/10/14,3000,3000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,1256,8,771,,"BUENA VISTA WEST",AV,,,,,,,,,,,,,"SOFT DEMO-SEE REF. #2001/12/07/4792, NO STRUCTURAL WORK, REMOVE ROOFING MATERIAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
200405194255,3,2004/05/19,2004/06/09,ISSUED,9,2005/06/09,50000,50000,OFFICE,,OFFICE,0,3708,29,71,,STEVENSON,ST,,,PATTERSON,5103464300,"ACCO ENGINEERED SYSTEMS",ALADDIN,AV,"SAN LEANDRO",CA,94577-4311,,,"OTI-2 21/F ME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
200207242270,3,2002/07/24,2004/06/09,ISSUED,9,2005/06/09,25000,70000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,6768,41,72,,MONTEREY,BL,,,,,,,,,,,"JOHN MARSH AIA 11 AIRPORT BLVD SO. SAN FRAN",6505884902,"FRONT ROOM EXTENSION OVER EX 1ST FLOOR, ROOF AREA ,SITE PLAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
200207252319,2,2002/07/25,2004/06/15,ISSUED,9,2006/06/15,390000,590000,,,"2 FAMILY DWELLING",2,1069,5,23,,WOOD,ST,,,,,,,,,,,"GARY S. VARUM 470 ARLINGTON AVE,BERKELEY,CA94707",5105598774,"TO ERECT 4 STORIES OF 2 DWELLING UNITS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
200207252322,6,2002/07/25,2004/06/15,ISSUED,9,,,,"1 FAMILY DWELLING",,,,1069,5,23,,WOOD,ST,,,,,,,,,,,"GARY S. VARUM 470 ARLINGTON AVE,BERKELEY,CA 94707",5105598774,"DEMOLISH A ONE STORY SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
200209126333,3,2002/09/12,2004/06/09,ISSUED,9,2005/06/09,100000,100000,APARTMENTS,,"2 FAMILY DWELLING",2,944,021A,2545,,GREENWICH,ST,0,,,,,,,,,,"WM. PASLEINSKY 1937 HAYES ST, SF, CA 94117",4153793676,"MODIFY INTERIOR TO COMBINE 2 UNITS INTO OWNER'S UNIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200209207096,2,2002/09/20,2004/06/07,ISSUED,9,2006/06/07,500000,800000,,,APARTMENTS,3,5835,75,4005,,MISSION,ST,,,,,,,,,,,"GARY GEE ARCH PIER 38 EMBARCADERO,SF,CA 94107",4155419339,"NEW BUILDING 4 STORIES, 3 FAMILY CONDOMINIUM, NO BASEMENT.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
200210038119,6,2002/10/03,2004/06/24,ISSUED,9,,,,"1 FAMILY DWELLING",,,,7536,20,571,,VALLEY,ST,,,,,,,,,,,"DELTA ENGR 965 HOWARD,SF, CA 94103",4159824311,"TO DEMOLISH A 2 STORY SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200210038125,2,2002/10/03,2004/06/24,ISSUED,9,2006/06/24,250000,680000,,,"1 FAMILY DWELLING",1,7536,20,571,,VALLEY,ST,,,,,,,,,,,"DELTA ENG 965 HOWARD,SF, CA94103",4154955138,"ERECT A NEW 4 STORY SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
200210098656,3,2002/10/09,2004/06/02,ISSUED,9,2004/12/02,7000,7000,"2 FAMILY DWELLING",,"2 FAMILY DWELLING",2,3581,71,3877,,17TH,ST,,,NORRIS,4152724974,"FINIAN NORRIS CONSTRUCTION",43RD,AV,"SAN FRANCISCO",CA,94122-0000,"WM PASHELINKSY 1937 HAYES ST,SF, CA",,"NEW DECK & STAIRS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
200210108751,2,2002/10/10,2004/06/15,ISSUED,9,2005/06/15,273000,273000,,,"1 FAMILY DWELLING",1,6769,12,132,,MONTEREY,BL,,,,,,,,,,,"K/P ARCH 70 ZOE ,SF, CA 94131",4154954051,"ERECT A THREE STORY SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
200210250003,3,2002/10/25,2004/06/03,ISSUED,9,2006/06/03,300000,869275,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,4073,17,761,,KANSAS,ST,,,,,,,,,,,,,"VERTICAL & HORIZONTAL ADDIITON TO (E)HOUSE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
200210310500,3,2002/10/31,2004/06/14,ISSUED,9,2005/06/14,70000,70000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,7237,29,364,,STONECREST,DR,,,,,,,,,,,"MARK STOKLOSA 480 ST JOHN #220,PHEASANTON,CA94566",9254842984,"LATERAL EXPANSION, ADDITION TO KITCHEN & ADDITION OF DECK TOWARD REAR YARD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
200301084774,3,2003/01/08,2004/06/01,ISSUED,9,2005/06/01,150000,150000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,2852,10,238,,GLENVIEW,DR,,,LI,4158239812,"ZOOEY CONSTRUCTION CO",30TH,AV,"SAN FRANCISCO",CA,94116-0000,"LINCOLN LUE ASSOC. ARCH.",5655623,"ADDITION TO 3RD FLOOR FOLLOWING ROOMS/MASTER BDRM/2 SMALLER BDRM/2 BTH AND REAR STAIRWELL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
200302056781,3,2003/02/05,2004/06/01,ISSUED,9,2005/06/01,100000,100000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,2509,51,2921,,WAWONA,ST,,,,,,,,,,,,,"HORIZONTAL & ELECTRICAL ADDITION. GRD FL-FAMILY RM. BEDRM & FULL BATH. SECOND FLR-TWO BEDRM & FULL B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
200302147593,3,2003/02/14,2004/06/24,ISSUED,9,2005/06/24,45000,45000,APARTMENTS,,APARTMENTS,16,599,011D,1890,,WASHINGTON,ST,0,,,4153991188,"HON'S CONSTRUCTION",GREEN,ST,"SAN FRANCISCO",CA,94133,"LOK C. KWAN 848 FOLSOM ST, STE 102,SF, CA 94107",4157770808,"SEISMIC UPGRADE AS PER BOLT PLUS W/IRREGULARITIES CORRECTED FOR THIS UNREINFORCED MASONRY BUILDI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200302248126,3,2003/02/24,2004/06/04,ISSUED,9,2005/06/04,300000,300000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,44,23,2544,,LEAVENWORTH,ST,,,,,,,,,,,"KODAMA DISGNO ARCHITS 1701 MONTGOMERY ST SF",,"CONSTRUCTION OF A TWO CAR GARAGE W THE 2ND STORY BEING A GARDEN PAVILION FACING THE (E) GARDEN & RES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200302278401,3,2003/02/27,2004/06/08,ISSUED,9,2005/06/08,250000,250000,"2 FAMILY DWELLING",,APARTMENTS,3,4145,12,2356,,BRYANT,ST,,,,,,,,,,,"2V DESIGN 1500 HYDE ST SF",,"REMODEL OF (E) BUILDING, ADDITION OF REAR YARD,CONVERT 2 UNIT BLDG. TO 3  UNITS BLDG.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200302288509,3,2003/02/28,2004/06/11,ISSUED,9,2005/06/11,180000,180000,"1 FAMILY DWELLING",,"2 FAMILY DWELLING",2,1087,5,751,,SPRUCE,ST,,,,,,,,,,,"A & J DESIGN ASSOC 2328 TARAVAL,SF, CA 94116",4156828683,"HORIZONTAL AND VERTICAL ADDITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
200303048786,3,2003/03/04,2004/06/10,ISSUED,9,2005/06/10,85000,85000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,6024,31,32,,PRAGUE,ST,,,,,,,,,,,,,"ROOM EXTENSION, MOVE KITCHEN, BUILD 1 BEDROOM WITH BATHROOM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
200303109219,3,2003/03/10,2004/06/10,ISSUED,9,2004/12/10,20000,20000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,6939,34,246,,JULES,AV,,,,,,,,,,,"CLEMENT YEN 625 LARKIN ST #268,SF, CA 94109",4158850628,"COMPLY W/ N.O.V#200337372. REAR 2ND STORY ADDITION (11'X25'X9') OVER (E) ROOF OF (E) GRAND FL ROOM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
200303119304,1,2003/03/11,2004/06/17,ISSUED,9,2006/12/17,1300000,1300000,,,"NURSING HOME NON AMB",30,807,12,624,,LAGUNA,ST,,,,,,,,,,,"JAMES G. STAVOY AIA. 679 SANCHEZ ST 94114",4155538696,"ERECT A THREE STORY SENIOR CARE FACILITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
200303129484,3,2003/03/12,2004/06/08,ISSUED,9,2005/06/08,90000,95000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,6632,8,1740,,CHURCH,ST,,,,,,,,,,,"A R DESIGN",,"THIS IS AN (E) 25 CAPACITY SUSHI BAR RESTAURANT ON 1/F ADD TO THE REAR INVOLVES RELOCATING AN (E)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
200303129484,3,2003/03/12,2004/06/08,ISSUED,9,2005/06/08,90000,95000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,6632,8,1742,,CHURCH,ST,,,,,,,,,,,"A R DESIGN",,"THIS IS AN (E) 25 CAPACITY SUSHI BAR RESTAURANT ON 1/F ADD TO THE REAR INVOLVES RELOCATING AN (E)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
200303139598,3,2003/03/13,2004/06/03,ISSUED,9,2005/06/03,100000,50000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,1475,009C,453,,43RD,AV,,,WONG,4157228313,"KWOK LEUNG WONG/ K L",POLK,ST,"SAN FRANCISCO",CA,94109-0000,,,"INFILL UNDER EXITING BEDROOM TO CREATE NEW STUDY, LEGALIZE DEN, ADD 1 BATH, 1 UTILITY @ GROUND FLOO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
200304021313,3,2003/04/02,2004/06/16,ISSUED,9,2006/06/16,400000,990000,SCHOOL,,SCHOOL,0,5279,17,1654,,KIRKWOOD,AV,,,BARSOCCHINI,4152033304,"BARSOCCHINI & LANDI COMPANY",MADRONE,ST,"SAN ANSELMO",CA,94960-0000,"EDWARD HARDIN 480 GATE 5 RD, SAUSALITO,CA 94965",4153312539,"REVISE 8913811. SCOPE OF WORK ON 2ND FL FRAMING PLAN CHG FR ORIG CONC SLAB TO WOOD FRAMING.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
200304041524,3,2003/04/04,2004/06/08,ISSUED,9,2004/10/08,1,1,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,7545,26,189,,FARNUM,ST,,,GOLIGER,4153105455,"ARTISANS LANDSCAPE",DONNER,AV,"SAN FRANCISCO",CA,94124-0000,,,"BOARD OF APPEALS #200211010637                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
200304081712,3,2003/04/08,2004/06/18,ISSUED,9,2005/06/18,65000,112500,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,2075,6,1883,,38TH,AV,,,,,,,,,,,"PATRICK JACBOS 6766 BROADWAY TER OAKLAND CA",5102050064,"CONSTRUCT ROOMS (3 BEDRMS & ONE FULL BATH) ON TOP OF THE EXISTING PROPERTY-VERTICAL ADDITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
200304112037,3,2003/04/11,2004/06/29,ISSUED,9,2005/06/29,180000,180000,"2 FAMILY DWELLING",,"2 FAMILY DWELLING",2,3624,18,4062,,23RD,ST,,,,,,,,,,,"ARCHITECTURAL TM 465 CALIF.#812 94104",,"VERTICAL ADDITION 1 STORY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
200304212717,3,2003/04/21,2004/06/09,ISSUED,9,2005/06/09,90000,90000,APARTMENTS,,APARTMENTS,18,284,12,602,,MASON,ST,,,,5105267432,"K SEISMIC INC","SAN PABLO AVD #14",,BERKELEY,CA,94702-0000,,,"UMB SEISMIC UPGRADE-SPECIAL PROCEDURES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
200304283265,3,2003/04/28,2004/06/17,ISSUED,9,2005/06/17,50200,50200,"FOOD/BEVERAGE HNDLNG",,"FOOD/BEVERAGE HNDLNG",2,1201,8,601,,DIVISADERO,ST,,,,,,,,,,,,,"CORRECTIVE ACTION TO ADDESS N.O.V#200006489. CONSOLIDATION OF TWO BUSINESS INTO ONE CONSTITUTING CHA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
200304283265,3,2003/04/28,2004/06/17,ISSUED,9,2005/06/17,50200,50200,"FOOD/BEVERAGE HNDLNG",,"FOOD/BEVERAGE HNDLNG",2,1201,8,1306,,HAYES,ST,,,,,,,,,,,,,"CORRECTIVE ACTION TO ADDESS N.O.V#200006489. CONSOLIDATION OF TWO BUSINESS INTO ONE CONSTITUTING CHA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
200406287515,8,2004/06/28,2004/06/28,ISSUED,9,2004/10/28,5000,5000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,2506,35,2718,,38TH,AV,,,,,,,,,,,,,"INSTALL NEW WOOD STAIRS AND DECK AT THE REAR OF THE EXISTING 2 STORY BUILDING, REPLACE (E) WINDOWS *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
200305023679,3,2003/05/02,2004/06/09,ISSUED,9,2004/10/09,5000,5000,"2 FAMILY DWELLING",,"2 FAMILY DWELLING",2,1289,63,4925,,17TH,ST,,,,,,,,,,,,," RPLACE WXISTING W/SLIGHTLY LARGER DECK NEW DECK TO CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
200305023679,3,2003/05/02,2004/06/09,ISSUED,9,2004/10/09,5000,5000,"2 FAMILY DWELLING",,"2 FAMILY DWELLING",2,1289,63,4927,,17TH,ST,,,,,,,,,,,,," RPLACE WXISTING W/SLIGHTLY LARGER DECK NEW DECK TO CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
200305094215,3,2003/05/09,2004/06/03,ISSUED,9,2004/10/03,500,500,"FOOD/BEVERAGE HNDLNG",,"FOOD/BEVERAGE HNDLNG",0,742,8,730,,"VAN NESS",AV,,,,,,,,,,,"STEVE THORNE",5108361770,"TO COMPLY WITH NOV 200230266 & UHR NO. 1-AB-012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
200305144588,3,2003/05/14,2004/06/28,ISSUED,9,2005/06/28,90000,190000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,5715,6,231,,"HOLLY PARK",CR,,,,,,,,,,,"DAVID HAUN, ARCHITECT 649 ANDERSON ST S.F CA 94110",,"2 OFF-STREET PARKING + CURBCUT, 8X10 REAR ADDITION, 803 S.F. SECOND FLR ADDITION, REBUILD (E) DECK                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200305164810,3,2003/05/16,2004/06/07,ISSUED,9,2005/06/07,60000,120000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,7137,53,217,,SADOWA,ST,,,,,,,,,,,,,"HORIZONTAL ADDITION FOR SINGLE FAMILY RESIDENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
200305225324,3,2003/05/22,2004/06/28,ISSUED,9,2004/12/28,15000,15000,"2 FAMILY DWELLING",,"2 FAMILY DWELLING",2,151,22,1172,,BROADWAY,*,,,,,,,,,,,"JAN THRELKELD AIA",,"add (n) roof deck and spriral stair to top unit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
200305285651,3,2003/05/28,2004/06/24,ISSUED,9,2005/06/24,200000,280000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,960,002A,2682,,BROADWAY,*,,,,4152060550,"JAMES GALLAGHER CONSTRUCTION","DIAMOND ST",,"SAN FRANCISCO",CA,94114-0000,"KARIN PAYSON",4152779500,"RELOCATE FIRE ESCAPE, NEW FACADE, VERTICAL & LATERAL ADDITION ON 3RD FL, NEW TERRACE FRAMING, WINDSC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
200305305941,3,2003/05/30,2004/06/21,ISSUED,9,2005/06/21,250000,250000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,2722,3,206,,"PALO ALTO",AV,,,,,,,,,,,,,"NEW SINGLE FAM RESIDENTIAL ADDITION & ALTERATIONS;ADD NEW 2 STORY REAR YARD ADDITION WITH ROOF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
200306036109,3,2003/06/03,2004/06/14,ISSUED,9,2005/06/14,150000,150000,OFFICE,,OFFICE,0,3710,18,50,,BEALE,ST,,,,,,,,,,,"OTTOLINI BOOTH & ARCHITECTS INC.",4157770768,"REPLACE  EXISTING  SIDEWALK.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
200306046254,6,2003/06/04,2004/06/28,ISSUED,9,,,,"1 FAMILY DWELLING",,,,6617,17,168,,29TH,ST,,,,,,,,,,,"LEAVITT ARCH  512 UNION, SF, CA",,"DEMOLISH A ONE STORY SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
200306046258,2,2003/06/04,2004/06/28,ISSUED,9,2006/06/28,725000,725000,,,APARTMENTS,4,6617,17,168,,29TH,ST,,,,,,,,,,,,,"ERECT A NEW FOUR STORY FOUR UNIT RESIDENTIAL BLDG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
200306268153,3,2003/06/26,2004/06/08,ISSUED,9,2005/06/08,95000,135000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,2948A,15,610,,ROCKDALE,DR,,,,,,,,,,,"TOPERHER ARCH 639-A DIVISADERO,SF, CA 94117",,"PROPOSED ADDITION OF NEW 3RD FLR TO CONTAIN 3 BEDROOMS & 2 BATHS THERE WILL BE ASSOCIATED RECONFIGUR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
200306278205,3,2003/06/27,2004/06/25,ISSUED,9,2005/06/25,10000,30000,APARTMENTS,,APARTMENTS,4,861,35,605,,HAIGHT,ST,,,KOSEWIC,8643970,"KOZY HOMES"," HAIGHT",ST,"SAN FRANCISCO",CA,94117,"THOMAS MEECE -ENGINEER-P.O. BOX 2746 PETALUMA CA",7077666783,"HORIZONTAL ADDITION- REPLACE EXISTING REAR DECK, DEMOLISH EXISTING REAR CARPORT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
200306278205,3,2003/06/27,2004/06/25,ISSUED,9,2005/06/25,10000,30000,APARTMENTS,,APARTMENTS,4,861,35,607,,HAIGHT,ST,,,KOSEWIC,8643970,"KOZY HOMES"," HAIGHT",ST,"SAN FRANCISCO",CA,94117,"THOMAS MEECE -ENGINEER-P.O. BOX 2746 PETALUMA CA",7077666783,"HORIZONTAL ADDITION- REPLACE EXISTING REAR DECK, DEMOLISH EXISTING REAR CARPORT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
200306278208,3,2003/06/27,2004/06/25,ISSUED,9,2005/06/25,10000,30000,APARTMENTS,,APARTMENTS,4,861,34,609,,HAIGHT,ST,,,,,,,,,,,"THOMAS MEECE ENGINEERING P.O. BOX 2746 PETALUMA CA",,"REPLACE EXISTING REAR DECK                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
